00001740-n,00001740-n
00002056-n,00002452-n
00002560-n,13740168-n
00002645-n,00003553-n
00003009-n,00004258-n
00003226-n,00004475-n
00004358-n,00005787-n
00004483-n,00006024-n
00004609-n,00006269-n
00004740-n,00006400-n
00004824-n,00006484-n
00005598-n,00007347-n
00006026-n,00007846-n
00012748-n,00015388-n
00014510-n,00017222-n
00016236-n,00002684-n
00017087-n,00019128-n
00017572-n,00020827-n
00018827-n,00021265-n
00019244-n,00021939-n
00020136-n,00022903-n
00020333-n,00023100-n
00020486-n,00002137-n
00020729-n,00023271-n
00021213-n,00023773-n
00021668-n,00026192-n
00022625-n,00027167-n
00023103-n,00027807-n
00023548-n,00028270-n
00023929-n,00028651-n
00024197-n,00029007-n
00024304-n,00029114-n
00024568-n,00024720-n
00025950-n,00029378-n
00026194-n,00030358-n
00026769-n,00031264-n
00027371-n,00032613-n
00027563-n,00024264-n
00027929-n,00031921-n
00028549-n,00032823-n
00028764-n,00033020-n
00029305-n,00033615-n
00029881-n,00034213-n
00030147-n,00034479-n
00030242-n,00034574-n
00030427-n,00034777-n
00030589-n,00035189-n
00031097-n,00035697-n
00031291-n,00035891-n
00031461-n,00036299-n
00031742-n,00036580-n
00031905-n,00036762-n
00032426-n,00037006-n
00032510-n,00037090-n
00032620-n,00037200-n
00032816-n,00037396-n
00033487-n,00038175-n
00033574-n,00038262-n
00033885-n,00038573-n
00034175-n,00038863-n
00034333-n,00039021-n
00034505-n,00039211-n
00034591-n,00039297-n
00034839-n,00039545-n
00035034-n,00039740-n
00035210-n,00039990-n
00035372-n,00040152-n
00035618-n,00040420-n
00035725-n,00040545-n
00035984-n,00040804-n
00036142-n,00040962-n
00036350-n,00041188-n
00036630-n,00041468-n
00036776-n,00041614-n
00036902-n,00041740-n
00037061-n,00041899-n
00037473-n,00042311-n
00037703-n,00042541-n
00037919-n,00042757-n
00038274-n,00043116-n
00038353-n,00043195-n
00038749-n,00043609-n
00039042-n,00043902-n
00039290-n,00044150-n
00039595-n,00044455-n
00039813-n,00044673-n
00040040-n,00044900-n
00040235-n,00045114-n
00040371-n,00045250-n
00040767-n,00045646-n
00041028-n,00045907-n
00041298-n,00046177-n
00041454-n,00046344-n
00041632-n,00046522-n
00042128-n,00047018-n
00042216-n,00047106-n
00042466-n,00047356-n
00042660-n,00047550-n
00042855-n,00047745-n
00043051-n,00047941-n
00043161-n,00048051-n
00043335-n,00048225-n
00043484-n,00048374-n
00043766-n,00048656-n
00043938-n,00048828-n
00044113-n,00049003-n
00044454-n,00049344-n
00044639-n,00049530-n
00044745-n,00049636-n
00044898-n,00049789-n
00045018-n,00049909-n
00045146-n,00050037-n
00045304-n,00050195-n
00045593-n,00050484-n
00045801-n,00050693-n
00045977-n,00050887-n
00046167-n,00051077-n
00046282-n,00051192-n
00046475-n,00051385-n
00046615-n,00051525-n
00046802-n,00051712-n
00046987-n,00051897-n
00047142-n,00052052-n
00047236-n,00052146-n
00047414-n,00052334-n
00047580-n,00052500-n
00047871-n,00052791-n
00048100-n,00053020-n
00048177-n,00053097-n
00048485-n,00053405-n
00048605-n,00053525-n
00048689-n,00053609-n
00048886-n,00053806-n
00048992-n,00053913-n
00049341-n,00054328-n
00049496-n,00054652-n
00049632-n,00054821-n
00049848-n,00055038-n
00050037-n,00055227-n
00050125-n,00055315-n
00050443-n,00055633-n
00050603-n,00055793-n
00050742-n,00055932-n
00050879-n,00056087-n
00051103-n,00056311-n
00051343-n,00056551-n
00051480-n,00056688-n
00051704-n,00056912-n
00051954-n,00057162-n
00052098-n,00057306-n
00052278-n,00057486-n
00052449-n,00057657-n
00052540-n,00057748-n
00052796-n,00058002-n
00053041-n,00058247-n
00053131-n,00058337-n
00053313-n,00058519-n
00053402-n,00058608-n
00053537-n,00058743-n
00053901-n,00059127-n
00054150-n,00059376-n
00054326-n,00059552-n
00054502-n,00059728-n
00054669-n,00059895-n
00054763-n,00059989-n
00054975-n,00060201-n
00055188-n,00060414-n
00055322-n,00060414-n
00055520-n,00060817-n
00055673-n,00061014-n
00055830-n,00061171-n
00055949-n,00061290-n
00056112-n,00061453-n
00056257-n,00061598-n
00056451-n,00061792-n
00056576-n,00061917-n
00056792-n,00062133-n
00056972-n,00062331-n
00057092-n,00062451-n
00057312-n,00062671-n
00057447-n,00062806-n
00057655-n,00063014-n
00057951-n,00063310-n
00058200-n,00063559-n
00058293-n,00063652-n
00058659-n,00064018-n
00058792-n,00064151-n
00058991-n,00064370-n
00059106-n,00064504-n
00059391-n,00064789-n
00059681-n,00065098-n
